Date,Open,High,Low,Close,Adj Close,Volume
2018-01-05,10.236000,10.302000,10.236000,10.302000,10.302000,856
2018-01-08,10.314000,10.322000,10.312000,10.322000,10.322000,579
2018-01-09,10.348000,10.370000,10.348000,10.368000,10.368000,1075
2018-01-10,10.352000,10.360000,10.320000,10.356000,10.356000,7548
2018-01-11,10.356000,10.356000,10.338000,10.338000,10.338000,82
2018-01-12,10.314000,10.378000,10.314000,10.378000,10.378000,12245
2018-01-15,10.364000,10.364000,10.338000,10.344000,10.344000,3639
2018-01-16,10.346000,10.378000,10.316000,10.330000,10.330000,16695
2018-01-17,10.312000,10.338000,10.312000,10.338000,10.338000,312
2018-01-18,10.364000,10.364000,10.306000,10.348000,10.348000,359
2018-01-19,10.342000,10.362000,10.342000,10.362000,10.362000,786
2018-01-22,10.362000,10.410000,10.362000,10.410000,10.410000,3747
2018-01-23,10.432000,10.436000,10.416000,10.416000,10.416000,11187
2018-01-24,10.418000,10.426000,10.384000,10.384000,10.384000,3
2018-01-25,10.394000,10.406000,10.308000,10.308000,10.308000,37084
2018-01-26,10.322000,10.376000,10.322000,10.354000,10.354000,9
2018-01-29,10.344000,10.348000,10.324000,10.324000,10.324000,209
2018-01-30,10.272000,10.272000,10.230000,10.230000,10.230000,1286
2018-01-31,10.238000,10.238000,10.170000,10.186000,10.186000,1175
2018-02-01,10.222000,10.222000,10.120000,10.130000,10.130000,49333
2018-02-02,10.054000,10.054000,10.010000,10.010000,10.010000,3800
2018-02-05,9.908000,9.908000,9.794000,9.794000,9.794000,20096
2018-02-06,9.578000,9.626000,9.539000,9.539000,9.539000,1035
2018-02-07,9.619000,9.751000,9.570000,9.730000,9.730000,20480
2018-02-08,9.701000,9.746000,9.657000,9.658000,9.658000,12060
2018-02-09,9.546000,9.546000,9.466000,9.466000,9.466000,11739
2018-02-12,9.586000,9.586000,9.553000,9.553000,9.553000,8823
2018-02-13,9.561000,9.561000,9.526000,9.526000,9.526000,10
2018-02-14,9.570000,9.595000,9.551000,9.595000,9.595000,28652
2018-02-15,9.636000,9.695000,9.636000,9.661000,9.661000,4020
2018-02-16,9.661000,9.661000,9.661000,9.661000,9.661000,0
2018-02-19,9.767000,9.767000,9.697000,9.697000,9.697000,1085
2018-02-20,9.729000,9.752000,9.694000,9.752000,9.752000,11559
2018-02-21,9.743000,9.800000,9.731000,9.783000,9.783000,1246
2018-02-22,9.700000,9.750000,9.693000,9.750000,9.750000,17033
2018-02-23,9.789000,9.792000,9.789000,9.792000,9.792000,83
2018-02-26,9.830000,9.830000,9.825000,9.825000,9.825000,16
2018-02-27,9.820000,9.830000,9.819000,9.821000,9.821000,665
2018-02-28,9.820000,9.824000,9.726000,9.726000,9.726000,53286
2018-03-01,9.672000,9.672000,9.628000,9.628000,9.628000,204
2018-03-02,9.533000,9.533000,9.416000,9.416000,9.416000,1193
2018-03-05,9.497000,9.521000,9.445000,9.521000,9.521000,18623
2018-03-06,9.577000,9.577000,9.520000,9.520000,9.520000,22
2018-03-07,9.500000,9.560000,9.490000,9.559000,9.559000,772
2018-03-08,9.552000,9.650000,9.552000,9.636000,9.636000,1516
2018-03-09,9.636000,9.701000,9.636000,9.701000,9.701000,6
2018-03-12,9.704000,9.719000,9.689000,9.697000,9.697000,32991
2018-03-13,9.695000,9.695000,9.597000,9.597000,9.597000,786
2018-03-14,9.597000,9.597000,9.589000,9.589000,9.589000,312
2018-03-15,9.620000,9.660000,9.605000,9.643000,9.643000,665
2018-03-16,9.700000,9.700000,9.693000,9.693000,9.693000,73
2018-03-19,9.681000,9.681000,9.548000,9.566000,9.566000,1403
2018-03-20,9.580000,9.617000,9.566000,9.617000,9.617000,232
2018-03-21,9.605000,9.633000,9.605000,9.633000,9.633000,562
2018-03-22,9.576000,9.576000,9.477000,9.511000,9.511000,5232
2018-03-23,9.442000,9.497000,9.442000,9.461000,9.461000,93
2018-03-26,9.490000,9.490000,9.415000,9.415000,9.415000,195
2018-03-27,9.415000,9.415000,9.415000,9.415000,9.415000,0
2018-03-28,9.471000,9.619000,9.471000,9.619000,9.619000,35
2018-03-29,9.659000,9.659000,9.630000,9.630000,9.630000,1000
2018-04-03,9.547000,9.651000,9.547000,9.625000,9.625000,7500
2018-04-04,9.625000,9.625000,9.509000,9.620000,9.620000,183
2018-04-05,9.778000,9.843000,9.744000,9.843000,9.843000,18820
2018-04-06,null,null,null,null,null,null
2018-04-09,9.861000,9.877000,9.820000,9.860000,9.860000,889
2018-04-10,9.905000,9.960000,9.905000,9.960000,9.960000,59085
2018-04-11,9.916000,9.959000,9.916000,9.944000,9.944000,809
2018-04-12,9.950000,10.022000,9.939000,10.022000,10.022000,30762
2018-04-13,10.026000,10.044000,10.026000,10.038000,10.038000,197
2018-04-16,10.014000,10.016000,9.955000,9.955000,9.955000,61156
2018-04-17,9.962000,10.004000,9.962000,10.004000,10.004000,30204
2018-04-18,10.018000,10.042000,9.990000,10.042000,10.042000,28588
2018-04-19,10.048000,10.076000,10.048000,10.076000,10.076000,88
2018-04-20,10.030000,10.064000,10.016000,10.062000,10.062000,74688
2018-04-23,10.034000,10.114000,10.034000,10.114000,10.114000,10353
2018-04-24,10.120000,10.142000,10.120000,10.140000,10.140000,73116
2018-04-25,10.102000,10.102000,10.058000,10.098000,10.098000,9007
2018-04-26,10.086000,10.210000,10.086000,10.210000,10.210000,13612
2018-04-27,10.208000,10.228000,10.192000,10.228000,10.228000,4532
2018-04-30,10.208000,10.240000,10.208000,10.238000,10.238000,1080
2018-05-02,10.214000,10.280000,10.214000,10.260000,10.260000,1783
2018-05-03,10.260000,10.260000,10.260000,10.260000,10.260000,0
2018-05-04,10.196000,10.266000,10.196000,10.266000,10.266000,1269
2018-05-07,10.362000,10.422000,10.340000,10.384000,10.384000,6826
2018-05-08,10.320000,10.324000,10.312000,10.324000,10.324000,2353
2018-05-09,10.354000,10.512000,10.354000,10.512000,10.512000,2074
2018-05-10,10.512000,10.524000,10.504000,10.504000,10.504000,65
2018-05-11,10.548000,10.548000,10.510000,10.534000,10.534000,1429
2018-05-14,10.514000,10.534000,10.506000,10.522000,10.522000,12042
2018-05-15,10.564000,10.580000,10.558000,10.570000,10.570000,124
2018-05-16,10.604000,10.650000,10.604000,10.648000,10.648000,4639
2018-05-17,10.656000,10.740000,10.656000,10.740000,10.740000,190289
